time,header,orientation,orientation_covariance,angular_velocity,angular_velocity_covariance,linear_acceleration,linear_acceleration_covariance
2024/05/28 23:19:23.844422267,"{'stamp': {'secs': 1716956363, 'nsecs': 844122123}, 'frame_id': 'RU_myo'}","{'x': 0.10559344999865844, 'y': -0.45173244129483875, 'z': 0.557386927969797, 'w': 0.6885547453380727}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 1.0, 'y': -1.9375, 'z': -1.5625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7041015625, 'y': 0.662109375, 'z': -0.0595703125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.865399010,"{'stamp': {'secs': 1716956363, 'nsecs': 865069023}, 'frame_id': 'RU_myo'}","{'x': 0.10595742202565535, 'y': -0.4516618219987613, 'z': 0.5576192440244166, 'w': 0.6883570308786526}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 1.125, 'y': -2.1875, 'z': -1.5}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70947265625, 'y': 0.6611328125, 'z': -0.056640625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.888076952,"{'stamp': {'secs': 1716956363, 'nsecs': 887703368}, 'frame_id': 'RU_myo'}","{'x': 0.10620620267037673, 'y': -0.4516205135391479, 'z': 0.5576436020669895, 'w': 0.6883260617895622}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.0, 'y': -2.3125, 'z': -1.5625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70849609375, 'y': 0.65771484375, 'z': -0.05224609375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.904492612,"{'stamp': {'secs': 1716956363, 'nsecs': 904144361}, 'frame_id': 'RU_myo'}","{'x': 0.10650894280607744, 'y': -0.4515490881830148, 'z': 0.5578138844153248, 'w': 0.6881881548071765}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.5625, 'y': -2.125, 'z': -1.875}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70751953125, 'y': 0.6591796875, 'z': -0.05859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.933599819,"{'stamp': {'secs': 1716956363, 'nsecs': 933279908}, 'frame_id': 'RU_myo'}","{'x': 0.10681529119023096, 'y': -0.4514929765337934, 'z': 0.557942043868515, 'w': 0.6880735871928421}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.1875, 'y': -2.5625, 'z': -1.75}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.71044921875, 'y': 0.66259765625, 'z': -0.05859375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.941996692,"{'stamp': {'secs': 1716956363, 'nsecs': 941662900}, 'frame_id': 'RU_myo'}","{'x': 0.1072407568770951, 'y': -0.45136334496648733, 'z': 0.5580547752574163, 'w': 0.6880010310293773}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.3125, 'y': -3.3125, 'z': -1.4375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.7080078125, 'y': 0.6533203125, 'z': -0.0615234375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.964424725,"{'stamp': {'secs': 1716956363, 'nsecs': 964106963}, 'frame_id': 'RU_myo'}","{'x': 0.10754637863606262, 'y': -0.4512431198958064, 'z': 0.558240169696611, 'w': 0.6878817748174947}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.375, 'y': -3.0, 'z': -1.5}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70947265625, 'y': 0.65869140625, 'z': -0.06689453125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:23.985488449,"{'stamp': {'secs': 1716956363, 'nsecs': 985190628}, 'frame_id': 'RU_myo'}","{'x': 0.10779236421972237, 'y': -0.45118978273623317, 'z': 0.5583717711676219, 'w': 0.6877714382943554}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.125, 'y': -2.5, 'z': -1.625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.70703125, 'y': 0.6591796875, 'z': -0.0625}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.1797444,"{'stamp': {'secs': 1716956364, 'nsecs': 1595496}, 'frame_id': 'RU_myo'}","{'x': 0.10815743625497444, 'y': -0.4510628972484544, 'z': 0.5584878903685193, 'w': 0.6877030667521428}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.0, 'y': -3.125, 'z': -1.5}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.71044921875, 'y': 0.6552734375, 'z': -0.064453125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024/05/28 23:19:24.24467427,"{'stamp': {'secs': 1716956364, 'nsecs': 24214807}, 'frame_id': 'RU_myo'}","{'x': 0.10858507319293223, 'y': -0.4508203207436748, 'z': 0.558672948248965, 'w': 0.6876444264146007}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': 0.3125, 'y': -3.875, 'z': -1.375}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'x': -0.708984375, 'y': 0.6572265625, 'z': -0.064453125}","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
