time,data
2024/05/28 23:19:24.112770026,"[1, 3, 5, 23, -7, 3, 1, -2]"
2024/05/28 23:19:24.112791209,"[1, 5, -17, -15, -2, 2, 0, -3]"
2024/05/28 23:19:24.121081727,"[1, 7, 1, 16, 14, -8, -9, -8]"
2024/05/28 23:19:24.121095635,"[-2, -7, -7, -27, -7, 1, -8, -10]"
2024/05/28 23:19:24.135235252,"[-6, -11, 9, 80, 22, 2, 8, -1]"
2024/05/28 23:19:24.135257994,"[6, 2, -16, -99, -31, -5, 31, 12]"
2024/05/28 23:19:24.143505887,"[-2, -2, 0, 0, 9, 2, 7, 4]"
2024/05/28 23:19:24.143528489,"[-7, -10, 0, -31, -1, -1, -7, -3]"
2024/05/28 23:19:24.158446218,"[-1, 4, -9, -24, 15, -6, -2, -2]"
2024/05/28 23:19:24.158472271,"[-11, -28, 13, 87, 10, 1, -3, -9]"
2024/05/28 23:19:24.159343837,"[8, 20, -13, 39, -6, 11, 20, 7]"
2024/05/28 23:19:24.159367722,"[6, 5, -10, -73, -10, 4, 5, 14]"
2024/05/28 23:19:24.172803114,"[17, 56, 31, -79, -5, 4, -15, 4]"
2024/05/28 23:19:24.172825641,"[-9, 0, -7, 10, 8, 1, 4, 0]"
2024/05/28 23:19:24.181063890,"[13, -16, 26, -18, -15, -7, 7, 10]"
2024/05/28 23:19:24.181087726,"[2, -15, -22, 61, 25, 12, 62, 27]"
2024/05/28 23:19:24.195302053,"[6, 12, -31, -36, -13, 7, 5, 2]"
2024/05/28 23:19:24.195327056,"[0, 14, 8, 70, 6, 5, -16, -3]"
2024/05/28 23:19:24.203609009,"[-2, -16, -1, 51, -18, -12, -24, -1]"
2024/05/28 23:19:24.203632299,"[5, 25, 22, 70, 41, 9, 10, -14]"
2024/05/28 23:19:24.218607770,"[-16, -46, 8, -58, -16, -14, 57, 1]"
2024/05/28 23:19:24.218631981,"[26, 91, 51, -32, 10, 5, 26, 0]"
2024/05/28 23:19:24.219400865,"[-7, -34, -48, -84, 3, 45, -5, -2]"
2024/05/28 23:19:24.219424017,"[2, -6, 2, 51, -17, -49, -74, -1]"
2024/05/28 23:19:24.232786770,"[-6, 9, 9, 13, 7, -12, -110, -12]"
2024/05/28 23:19:24.232801582,"[-4, -35, 11, 62, -1, -24, -41, -7]"
2024/05/28 23:19:24.241589061,"[-13, -11, 25, -19, -9, 2, 15, -12]"
2024/05/28 23:19:24.241603268,"[-18, 14, -58, -105, -30, 10, -71, -9]"
2024/05/28 23:19:24.264298611,"[-16, -38, 33, 127, 33, 3, -9, 17]"
2024/05/28 23:19:24.264321716,"[-11, -29, -65, -125, -52, -19, -116, 14]"
2024/05/28 23:19:24.264994012,"[12, 78, 47, 75, 29, 0, -47, 8]"
2024/05/28 23:19:24.265007373,"[-19, -39, -32, -14, -21, 2, 62, -2]"
2024/05/28 23:19:24.278445188,"[0, -24, -3, -64, 7, 2, 59, -10]"
2024/05/28 23:19:24.278466276,"[-6, 59, 24, -75, -1, 6, 84, 18]"
2024/05/28 23:19:24.279257373,"[-51, -10, -28, -98, -45, -19, 105, -11]"
2024/05/28 23:19:24.279274037,"[-5, -41, 9, -2, 24, -1, 127, 26]"
2024/05/28 23:19:24.292782290,"[-14, 19, -10, -1, -10, -16, 13, 1]"
2024/05/28 23:19:24.292796916,"[-14, -70, -34, 55, 6, 21, -86, 13]"
2024/05/28 23:19:24.300950890,"[9, -34, 41, 40, 72, 9, -69, -1]"
2024/05/28 23:19:24.300964375,"[19, 41, 22, 42, -36, -5, -19, 19]"
2024/05/28 23:19:24.315254433,"[-11, -88, -27, -19, -6, 10, 8, 15]"
2024/05/28 23:19:24.315269188,"[-5, 25, -19, 58, 1, 4, 30, -15]"
2024/05/28 23:19:24.323467415,"[19, -14, 22, 55, 28, -23, -69, -4]"
2024/05/28 23:19:24.323481087,"[-26, -15, -21, 4, -33, 13, 39, -50]"
2024/05/28 23:19:24.338475251,"[32, -5, 4, 127, 35, 9, -42, -24]"
